action_lable,python_signal,matlable_signal,,,,Datetime,matlable_signal,
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/28 9:25,2015/12/28 9:25,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/12/29 9:20,2015/12/29 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/30 9:15,2015/12/30 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/12/31 9:35,2015/12/31 9:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/4 9:15,2016/1/4 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2016/1/5 9:15,2016/1/5 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/6 9:15,2016/1/6 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/1/7 9:15,2016/1/7 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/8 9:15,2016/1/8 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/1/11 9:25,2016/1/11 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/12 9:20,2016/1/12 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/1/13 9:15,2016/1/13 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/14 10:00,2016/1/14 10:00,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/1/15 9:15,2016/1/15 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/18 9:25,2016/1/18 9:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/1/19 9:15,2016/1/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/20 9:15,2016/1/20 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/1/21 10:30,2016/1/21 10:30,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/25 9:15,2016/1/25 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/1/26 9:15,2016/1/26 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/1/27 9:15,2016/1/27 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/1/28 9:20,2016/1/28 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/2/1 14:30,2016/2/1 14:30,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/2/2 10:45,2016/2/2 10:45,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/2/3 9:15,2016/2/3 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/2/4 9:20,2016/2/4 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/2/16 9:20,2016/2/16 9:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/2/18 9:15,2016/2/18 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/2/22 9:15,2016/2/22 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/2/25 9:15,2016/2/25 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/2/26 9:15,2016/2/26 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/2/29 10:20,2016/2/29 10:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/1 10:45,2016/3/1 10:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/3/2 13:40,2016/3/2 13:40,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/3 9:25,2016/3/3 9:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/3/4 9:35,2016/3/4 9:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/7 9:15,2016/3/7 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/3/8 9:15,2016/3/8 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/9 9:20,2016/3/9 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/3/10 9:15,2016/3/10 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/14 9:25,2016/3/14 9:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/3/15 9:50,2016/3/15 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/17 14:00,2016/3/17 14:00,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/3/18 9:15,2016/3/18 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/21 9:30,2016/3/21 9:30,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/3/22 14:50,2016/3/22 14:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/3/28 9:30,2016/3/28 9:30,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/3/29 9:20,2016/3/29 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/5 14:20,2016/4/5 14:20,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/4/6 9:40,2016/4/6 9:40,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/7 13:55,2016/4/7 13:55,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/4/8 11:25,2016/4/8 11:25,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/13 9:20,2016/4/13 9:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/4/14 9:25,2016/4/14 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/15 9:15,2016/4/15 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/4/18 9:15,2016/4/18 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/19 9:15,2016/4/19 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/4/20 13:00,2016/4/20 13:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/21 9:25,2016/4/21 9:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/4/22 9:15,2016/4/22 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/4/25 9:30,2016/4/25 9:30,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/4/26 9:45,2016/4/26 9:45,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/4 9:15,2016/5/4 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/5/6 13:00,2016/5/6 13:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/10 10:55,2016/5/10 10:55,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/5/11 9:15,2016/5/11 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/13 10:15,2016/5/13 10:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/5/16 9:20,2016/5/16 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/17 9:15,2016/5/17 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/5/18 9:15,2016/5/18 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/19 9:15,2016/5/19 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/5/20 9:15,2016/5/20 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/5/26 11:00,2016/5/26 11:00,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/5/30 15:05,2016/5/31 9:55,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/6/2 11:15,2016/6/2 11:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/6/3 10:20,2016/6/3 10:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/6/8 9:30,2016/6/8 9:30,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/6/13 14:55,2016/6/13 14:55,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/6/21 9:25,2016/6/21 9:25,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/6/22 9:20,2016/6/22 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/6/28 9:50,2016/6/28 9:50,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/6/29 9:15,2016/6/29 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/4 9:35,2016/7/4 9:35,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/7/5 9:15,2016/7/5 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/6 9:15,2016/7/6 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/7/7 9:15,2016/7/7 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/11 9:20,2016/7/11 9:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2016/7/12 9:15,2016/7/12 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/13 14:25,2016/7/13 14:25,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2016/7/14 13:20,2016/7/14 13:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/15 10:00,2016/7/15 10:00,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2016/7/18 9:20,2016/7/18 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2016/7/21 10:25,2016/7/21 10:25,TRUE
